orderid,first_x,first_y,last_x,last_y
894933,121.373,31.255,121.377,31.271
814770,121.482,31.242,121.488,31.253
129723,121.328,31.269,121.334,31.268
67558,121.54,31.284,121.555,31.287
1344680,121.396,31.258,121.408,31.247
1288299,121.448,31.308,121.451,31.313
520839,121.511,31.251,121.513,31.251
345239,121.453,31.34,121.457,31.338
142038,121.43,31.229,121.454,31.223
1280144,121.444,31.214,121.47,31.224
560743,121.535,31.284,121.539,31.28
107094,121.436,31.221,121.447,31.225
1721533,121.331,31.263,121.341,31.254
1172765,121.428,31.303,121.442,31.307
722830,121.457,31.212,121.491,31.225
1072074,121.472,31.206,121.481,31.201
339486,121.411,31.273,121.422,31.274
1200669,121.413,31.184,121.424,31.184
173969,121.49,31.184,121.517,31.186
909262,121.441,31.253,121.442,31.253
662537,121.428,31.144,121.436,31.136
424014,121.531,31.318,121.54,31.318
1354165,121.46,31.305,121.471,31.306
958034,121.303,31.287,121.325,31.296
1707672,121.505,31.302,121.512,31.302
1213096,121.521,31.18,121.524,31.187
414081,121.437,31.311,121.448,31.31
66558,121.308,31.238,121.319,31.241
598855,121.449,31.313,121.486,31.342
309213,121.469,31.324,121.483,31.32
416645,121.481,31.203,121.483,31.206
1720589,121.503,31.25,121.535,31.262
429056,121.421,31.239,121.44,31.236
1296469,121.454,31.153,121.458,31.155
1373052,121.503,31.308,121.509,31.307
12812,121.384,31.275,121.388,31.276
1476360,121.532,31.321,121.541,31.318
1100584,121.507,31.29,121.517,31.294
63974,121.415,31.219,121.431,31.213
262676,121.428,31.256,121.44,31.258
1259340,121.348,31.186,121.353,31.192
1097900,121.364,31.26,121.378,31.271
34839,121.443,31.278,121.453,31.279
60051,121.466,31.332,121.483,31.32
1373946,121.434,31.163,121.438,31.164
565770,121.411,31.129,121.414,31.13
1039656,121.531,31.3,121.535,31.289
1467785,121.507,31.303,121.513,31.304
1403715,121.482,31.235,121.482,31.236
628458,121.504,31.283,121.515,31.269
781685,121.47,31.279,121.478,31.271
526685,121.509,31.261,121.512,31.259
164435,121.585,31.26,121.596,31.257
1025659,121.453,31.181,121.465,31.185
1496632,121.364,31.189,121.366,31.19
724770,121.402,31.241,121.41,31.231
791843,121.358,31.347,121.372,31.345
740046,121.466,31.238,121.477,31.235
598845,121.309,31.208,121.385,31.237
448730,121.531,31.311,121.539,31.28
1785439,121.439,31.34,121.444,31.34
1083987,121.442,31.307,121.514,31.307
49040,121.513,31.197,121.521,31.199
1659193,121.362,31.252,121.366,31.259
635413,121.502,31.286,121.517,31.284
488947,121.469,31.174,121.474,31.171
1586017,121.44,31.312,121.504,31.306
